datetime,open,high,low,close,volume
2025-04-29 16:30:00,210.9300,211.0800,210.6500,210.9200,25020
2025-04-29 16:15:00,211.0600,211.2100,210.8000,210.9300,332052
2025-04-29 16:00:00,211.2100,211.2400,210.7400,211.0600,15377608
2025-04-29 15:45:00,211.0700,211.7700,210.9610,211.2400,2435461
2025-04-29 15:30:00,211.3100,211.4200,210.9500,211.0600,786660
2025-04-29 15:15:00,211.4900,211.5300,211.1001,211.3000,680362
2025-04-29 15:00:00,211.3000,211.9000,211.1700,211.4950,816299
2025-04-29 14:45:00,211.8000,211.8000,211.1879,211.3000,465948
2025-04-29 14:30:00,211.7200,211.9606,211.4100,211.8050,556673
2025-04-29 14:15:00,211.3950,211.8500,211.1787,211.7227,636217
2025-04-29 14:00:00,211.5850,211.7700,211.1600,211.4046,601391
2025-04-29 13:45:00,210.8400,211.7500,210.6900,211.5800,828014
2025-04-29 13:30:00,210.3700,210.8700,210.2200,210.8350,401614
2025-04-29 13:15:00,209.9600,210.6900,209.9450,210.3800,542902
2025-04-29 13:00:00,209.7400,210.0300,209.5000,209.9800,558321
2025-04-29 12:45:00,210.5000,210.5200,209.3500,209.7326,753776
2025-04-29 12:30:00,210.4700,210.6200,210.1200,210.5150,707868
2025-04-29 12:15:00,210.8700,211.0322,210.4200,210.4880,581876
2025-04-29 12:00:00,210.6150,211.3253,210.6150,210.8600,547180
2025-04-29 11:45:00,211.1500,211.2100,210.5101,210.6150,450384
2025-04-29 11:30:00,211.0400,211.1710,210.4000,211.1600,1089949
2025-04-29 11:15:00,211.1200,211.2300,210.6700,211.0400,734911
2025-04-29 11:00:00,211.6200,211.8000,210.9300,211.1282,728362
2025-04-29 10:45:00,211.2450,212.0700,211.2050,211.6111,931948
2025-04-29 10:30:00,210.9600,211.4900,210.8400,211.2300,823082
2025-04-29 10:15:00,212.0150,212.2400,210.7000,210.9500,1299869
2025-04-29 10:00:00,210.8100,212.1090,210.3300,212.0200,1718714
2025-04-29 09:45:00,210.2900,211.2500,210.2240,210.8000,1371033
2025-04-29 09:30:00,208.6930,210.4700,208.3700,210.2917,1910248
2025-04-29 09:15:00,209.4200,209.9415,207.9400,208.8500,82032
2025-04-29 09:00:00,209.5000,209.7000,208.7600,209.4200,50825
2025-04-29 08:45:00,210.4000,210.5700,209.5100,209.6000,48941
2025-04-29 08:30:00,210.0500,210.4900,210.0000,210.3900,2514606
2025-04-29 08:15:00,210.4300,210.4386,209.5700,210.0600,31567
2025-04-29 08:00:00,211.0615,211.5088,209.7900,210.4100,49924
2025-04-29 07:45:00,210.3300,210.4700,210.2700,210.4100,3922
2025-04-29 07:30:00,210.5600,210.6900,210.2300,210.3400,5175
2025-04-29 07:15:00,210.4500,210.6000,210.4000,210.5600,5414
2025-04-29 07:00:00,210.3600,210.6900,210.2600,210.4300,8665
2025-04-29 06:45:00,210.5500,210.5500,209.7100,210.3600,28427
2025-04-29 06:30:00,210.8300,210.8800,210.4100,210.5000,8662
2025-04-29 06:15:00,210.8100,210.9000,210.6400,210.8300,6151
2025-04-29 06:00:00,210.9200,210.9700,210.7500,210.8400,5736
2025-04-29 05:45:00,210.9200,210.9400,210.8300,210.9100,1227
2025-04-29 05:30:00,210.8500,210.9200,210.7800,210.9000,2309
2025-04-29 05:15:00,210.8300,210.8900,210.7400,210.8100,3463
2025-04-29 05:00:00,210.9800,211.0700,210.7400,210.8500,5171
2025-04-29 04:45:00,210.9300,211.1200,210.9200,211.0000,3945
2025-04-29 04:30:00,210.9100,211.0000,210.8600,210.9100,2147
2025-04-29 04:15:00,210.7400,211.0500,210.6800,210.9700,9297
2025-04-29 04:00:00,210.9800,211.2500,210.3200,210.7000,12945
2025-04-28 19:45:00,210.2001,210.3000,210.1500,210.1801,6582
2025-04-28 19:30:00,210.5512,210.7000,210.0200,210.2390,4195
2025-04-28 19:15:00,210.0500,210.9510,209.8900,210.5600,10467
2025-04-28 19:00:00,209.9700,210.1400,209.8300,209.8855,50653
2025-04-28 18:45:00,209.8000,210.1800,209.7000,209.9000,4332
2025-04-28 18:30:00,209.8000,210.2200,209.7100,209.8000,5358
2025-04-28 18:15:00,209.7501,209.9000,209.2800,209.7900,7274
2025-04-28 18:00:00,209.7000,209.9800,209.6000,209.9000,17737
2025-04-28 17:45:00,209.7993,209.8000,209.6500,209.7000,12935
2025-04-28 17:30:00,209.8400,210.1400,209.7500,209.8000,868789
2025-04-28 17:15:00,209.9700,209.9900,209.8000,209.8500,4281
2025-04-28 17:00:00,210.0400,223.4856,199.7357,209.9900,19856
